s3 uri,guest_name,job_name,language_code,vocab_name,categories,channel_identification,max_speakers,show_pii,show_transcript
s3://pse-audio-files/EFRL-1989-05-27-1.mp3,unknown,EFRL-1989-05-27-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-06-03-1.mp3,unknown,EFRL-1989-06-03-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-06-10-1.mp3,unknown,EFRL-1989-06-10-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-06-17-1.mp3,unknown,EFRL-1989-06-17-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-06-24-1.mp3,unknown,EFRL-1989-06-24-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-07-01-1.mp3,unknown,EFRL-1989-07-01-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-07-08-1.mp3,unknown,EFRL-1989-07-08-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-07-15-1.mp3,unknown,EFRL-1989-07-15-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-07-22-1.mp3,unknown,EFRL-1989-07-22-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-07-29-1.mp3,unknown,EFRL-1989-07-29-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-08-05-1.mp3,unknown,EFRL-1989-08-05-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-08-12-1.mp3,unknown,EFRL-1989-08-12-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-08-19-1.mp3,unknown,EFRL-1989-08-19-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-08-26-1.mp3,unknown,EFRL-1989-08-26-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-09-02-1.mp3,unknown,EFRL-1989-09-02-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-09-09-1.mp3,unknown,EFRL-1989-09-09-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-09-16-1.mp3,unknown,EFRL-1989-09-16-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-09-23-1.mp3,unknown,EFRL-1989-09-23-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-09-30-1.mp3,unknown,EFRL-1989-09-30-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-10-07-1.mp3,unknown,EFRL-1989-10-07-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-10-14-1.mp3,unknown,EFRL-1989-10-14-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-10-21-1.mp3,unknown,EFRL-1989-10-21-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-10-28-1.mp3,unknown,EFRL-1989-10-28-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-11-04-1.mp3,unknown,EFRL-1989-11-04-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-11-11-1.mp3,unknown,EFRL-1989-11-11-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-11-18-1.mp3,unknown,EFRL-1989-11-18-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-11-25-1.mp3,unknown,EFRL-1989-11-25-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-12-02-1.mp3,unknown,EFRL-1989-12-02-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-12-09-1.mp3,unknown,EFRL-1989-12-09-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-12-16-1.mp3,unknown,EFRL-1989-12-16-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-12-23-1.mp3,unknown,EFRL-1989-12-23-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1989-12-30-1.mp3,unknown,EFRL-1989-12-30-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-01-06-1.mp3,unknown,EFRL-1990-01-06-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-01-13-1.mp3,unknown,EFRL-1990-01-13-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-01-20-1.mp3,unknown,EFRL-1990-01-20-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-01-27-1.mp3,unknown,EFRL-1990-01-27-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-02-03-1.mp3,unknown,EFRL-1990-02-03-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-02-10-1.mp3,unknown,EFRL-1990-02-10-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-02-17-1.mp3,unknown,EFRL-1990-02-17-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-02-24-1.mp3,unknown,EFRL-1990-02-24-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-03-03-1.mp3,unknown,EFRL-1990-03-03-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-03-10-1.mp3,unknown,EFRL-1990-03-10-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-03-17-1.mp3,unknown,EFRL-1990-03-17-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-03-24-1.mp3,unknown,EFRL-1990-03-24-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-03-31-1.mp3,unknown,EFRL-1990-03-31-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-04-07-1.mp3,unknown,EFRL-1990-04-07-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-04-14-1.mp3,unknown,EFRL-1990-04-14-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-04-21-1.mp3,unknown,EFRL-1990-04-21-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-04-28-1.mp3,unknown,EFRL-1990-04-28-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-05-05-1.mp3,unknown,EFRL-1990-05-05-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-05-12-1.mp3,unknown,EFRL-1990-05-12-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-05-19-1.mp3,unknown,EFRL-1990-05-19-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-05-26-1.mp3,unknown,EFRL-1990-05-26-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-06-02-1.mp3,unknown,EFRL-1990-06-02-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-06-09-1.mp3,unknown,EFRL-1990-06-09-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-06-16-1.mp3,unknown,EFRL-1990-06-16-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-06-23-1.mp3,unknown,EFRL-1990-06-23-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-06-30-1.mp3,unknown,EFRL-1990-06-30-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-07-07-1.mp3,unknown,EFRL-1990-07-07-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-07-14-1.mp3,unknown,EFRL-1990-07-14-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-07-21-1.mp3,unknown,EFRL-1990-07-21-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-07-28-1.mp3,unknown,EFRL-1990-07-28-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-08-04-1.mp3,unknown,EFRL-1990-08-04-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-08-11-1.mp3,unknown,EFRL-1990-08-11-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-08-18-1.mp3,unknown,EFRL-1990-08-18-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-08-25-1.mp3,unknown,EFRL-1990-08-25-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-09-01-1.mp3,unknown,EFRL-1990-09-01-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-09-08-1.mp3,unknown,EFRL-1990-09-08-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-09-15-1.mp3,unknown,EFRL-1990-09-15-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-09-22-1.mp3,unknown,EFRL-1990-09-22-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-09-29-1.mp3,unknown,EFRL-1990-09-29-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-10-06-1.mp3,unknown,EFRL-1990-10-06-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-10-13-1.mp3,unknown,EFRL-1990-10-13-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-10-20-1.mp3,unknown,EFRL-1990-10-20-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-10-27-1.mp3,unknown,EFRL-1990-10-27-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-11-03-1.mp3,unknown,EFRL-1990-11-03-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-11-10-1.mp3,unknown,EFRL-1990-11-10-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-11-17-1.mp3,unknown,EFRL-1990-11-17-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-11-24-1.mp3,unknown,EFRL-1990-11-24-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-12-01-1.mp3,unknown,EFRL-1990-12-01-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-12-08-1.mp3,unknown,EFRL-1990-12-08-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-12-15-1.mp3,unknown,EFRL-1990-12-15-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-12-22-1.mp3,unknown,EFRL-1990-12-22-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-12-29-1.mp3,unknown,EFRL-1990-12-29-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-01-05-1.mp3,unknown,EFRL-1991-01-05-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-01-12-1.mp3,unknown,EFRL-1991-01-12-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-01-19-1.mp3,unknown,EFRL-1991-01-19-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-01-26-1.mp3,unknown,EFRL-1991-01-26-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-02-02-1.mp3,unknown,EFRL-1991-02-02-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-02-09-1.mp3,unknown,EFRL-1991-02-09-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-02-16-1.mp3,unknown,EFRL-1991-02-16-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-02-23-1.mp3,unknown,EFRL-1991-02-23-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-03-02-1.mp3,unknown,EFRL-1991-03-02-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-03-09-1.mp3,unknown,EFRL-1991-03-09-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-03-16-1.mp3,unknown,EFRL-1991-03-16-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-03-23-1.mp3,unknown,EFRL-1991-03-23-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-03-30-1.mp3,unknown,EFRL-1991-03-30-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-04-06-1.mp3,unknown,EFRL-1991-04-06-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-04-13-1.mp3,unknown,EFRL-1991-04-13-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-04-20-1.mp3,unknown,EFRL-1991-04-20-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-04-27-1.mp3,unknown,EFRL-1991-04-27-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-05-04-1.mp3,unknown,EFRL-1991-05-04-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-05-11-1.mp3,unknown,EFRL-1991-05-11-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-05-18-1.mp3,unknown,EFRL-1991-05-18-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-05-25-1.mp3,unknown,EFRL-1991-05-25-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-06-01-1.mp3,unknown,EFRL-1991-06-01-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-06-08-1.mp3,unknown,EFRL-1991-06-08-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-06-15-1.mp3,unknown,EFRL-1991-06-15-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-06-22-1.mp3,unknown,EFRL-1991-06-22-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-06-29-1.mp3,unknown,EFRL-1991-06-29-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-07-06-1.mp3,unknown,EFRL-1991-07-06-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-07-13-1.mp3,unknown,EFRL-1991-07-13-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-07-20-1.mp3,unknown,EFRL-1991-07-20-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-07-27-1.mp3,unknown,EFRL-1991-07-27-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-08-03-1.mp3,unknown,EFRL-1991-08-03-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-08-10-1.mp3,unknown,EFRL-1991-08-10-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-08-17-1.mp3,unknown,EFRL-1991-08-17-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-08-24-1.mp3,unknown,EFRL-1991-08-24-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-08-31-1.mp3,unknown,EFRL-1991-08-31-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
